,location_name,vehicle,value_description,nutrient,n_data_points,value_means
12,Angola,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
25,Angola,oil,percent of population eating industrially produced vehicle,na,0,[nan]
42,Angola,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
55,Bangladesh,oil,percent of population eating industrially produced vehicle,na,2,"[87.5, 88.4]"
72,Bangladesh,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
89,Burkina Faso,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
108,Burkina Faso,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
121,Burkina Faso,oil,percent of population eating industrially produced vehicle,na,0,[nan]
138,Burkina Faso,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
155,Cameroon,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
174,Cameroon,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
187,Cameroon,oil,percent of population eating industrially produced vehicle,na,0,[nan]
204,Cameroon,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
217,China,oil,percent of population eating industrially produced vehicle,na,0,[nan]
234,China,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
251,Côte d'Ivoire,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
270,Côte d'Ivoire,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
283,Côte d'Ivoire,oil,percent of population eating industrially produced vehicle,na,1,[98.0]
300,Côte d'Ivoire,wheat flour,percent of population eating industrially produced vehicle,na,1,[10.2]
317,Democratic Republic of the Congo,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
336,Democratic Republic of the Congo,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
349,Democratic Republic of the Congo,oil,percent of population eating industrially produced vehicle,na,0,[nan]
366,Democratic Republic of the Congo,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
387,Egypt,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
400,Egypt,oil,percent of population eating industrially produced vehicle,na,0,[nan]
417,Egypt,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
438,Ethiopia,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
451,Ethiopia,oil,percent of population eating industrially produced vehicle,na,5,"[19.0, 92.0, 70.0, 50.0, 55.0]"
460,Ethiopia,salt,percent of population eating industrially produced vehicle,na,0,[nan]
477,Ethiopia,wheat flour,percent of population eating industrially produced vehicle,na,6,"[28.0, 18.0, 89.0, 55.0, 27.0, 20.0]"
494,Ghana,bouillon,percent of population eating industrially produced vehicle,na,0,[nan]
513,Ghana,maize flour,percent of population eating industrially produced vehicle,na,0,[nan]
526,Ghana,oil,percent of population eating industrially produced vehicle,na,0,[nan]
541,Ghana,rice,percent of population eating industrially produced vehicle,na,0,[nan]
561,Ghana,wheat flour,percent of population eating industrially produced vehicle,na,0,[nan]
574,India,oil,percent of population eating industrially produced vehicle,na,1,[89.4]
589,India,rice,percent of population eating industrially produced vehicle,na,0,[nan]
