,location_name,vehicle,value_description,nutrient,n_data_points,value_means
0,Angola,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
1,Angola,maize flour,percent of vehicle that is fortified,iron,0,[nan]
2,Angola,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
3,Angola,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
4,Angola,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
5,Angola,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
6,Angola,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
7,Angola,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
8,Angola,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
9,Angola,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
10,Angola,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
11,Angola,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
12,Angola,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
13,Angola,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
14,Bangladesh,oil,percent of vehicle that is fortified,vitamin a,1,[61.0]
15,Bangladesh,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
16,Bangladesh,wheat flour,percent of vehicle that is fortified,folic acid,1,[1.0]
17,Bangladesh,wheat flour,percent of vehicle that is fortified,iron,1,[1.0]
18,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin a,1,[1.0]
19,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[1.0]
20,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[1.0]
21,Bangladesh,wheat flour,percent of vehicle that is fortified,zinc,1,[1.0]
22,Burkina Faso,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
23,Burkina Faso,bouillon,percent of vehicle that is fortified,iron,0,[nan]
24,Burkina Faso,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
25,Burkina Faso,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
26,Burkina Faso,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
27,Burkina Faso,maize flour,percent of vehicle that is fortified,iron,0,[nan]
28,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
29,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
30,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
31,Burkina Faso,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
32,Burkina Faso,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
33,Burkina Faso,wheat flour,percent of vehicle that is fortified,folic acid,1,[62.0]
34,Burkina Faso,wheat flour,percent of vehicle that is fortified,iron,1,[62.0]
35,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
36,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
37,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
38,Burkina Faso,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
39,Cameroon,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
40,Cameroon,bouillon,percent of vehicle that is fortified,iron,0,[nan]
41,Cameroon,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
42,Cameroon,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
43,Cameroon,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
44,Cameroon,maize flour,percent of vehicle that is fortified,iron,0,[nan]
45,Cameroon,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
46,Cameroon,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
