,location_name,vehicle,value_description,nutrient,n_data_points,value_means
0,Angola,maize flour,percent of population eating vehicle,na,0,[nan]
1,Angola,oil,percent of population eating vehicle,na,0,[nan]
2,Angola,wheat flour,percent of population eating vehicle,na,0,[nan]
3,Bangladesh,oil,percent of population eating vehicle,na,10,"[95.0, 89.0, 75.0, 95.0, 51.0, 59.0, 68.0, 76.0, 100.0, 99.8]"
4,Bangladesh,wheat flour,percent of population eating vehicle,na,12,"[40.0, 68.0, 63.0, 59.0, 70.0, 70.0, 77.0, 65.0, 76.2, 41.9, 41.9, 76.2]"
5,Burkina Faso,bouillon,percent of population eating vehicle,na,6,"[79.0, 98.0, 48.0, 96.0, 76.0, 88.0]"
6,Burkina Faso,maize flour,percent of population eating vehicle,na,4,"[0.2, 39.4, 39.0, 46.0]"
7,Burkina Faso,oil,percent of population eating vehicle,na,5,"[92.23, 30.2, 16.1, 54.0, 52.0]"
8,Burkina Faso,wheat flour,percent of population eating vehicle,na,10,"[48.0, 83.0, 15.0, 52.0, 41.0, 57.0, 88.0, 19.0, 58.0, 62.0]"
9,Cameroon,bouillon,percent of population eating vehicle,na,7,"[96.0, 95.5, 96.8, 93.3, 96.2, 96.0, 93.0]"
10,Cameroon,maize flour,percent of population eating vehicle,na,0,[nan]
11,Cameroon,oil,percent of population eating vehicle,na,10,"[82.6, 54.1, 40.7, 54.5, 54.0, 53.1, 82.4, 93.6, 81.2, 91.7]"
12,Cameroon,wheat flour,percent of population eating vehicle,na,11,"[92.2, 91.2, 89.8, 98.0, 92.0, 93.7, 94.0, 97.6, 95.2, 97.0, 98.4]"
13,China,oil,percent of population eating vehicle,na,0,[nan]
14,China,wheat flour,percent of population eating vehicle,na,0,[nan]
15,Côte d'Ivoire,bouillon,percent of population eating vehicle,na,0,[nan]
16,Côte d'Ivoire,maize flour,percent of population eating vehicle,na,0,[nan]
17,Côte d'Ivoire,oil,percent of population eating vehicle,na,1,[98.5]
18,Côte d'Ivoire,wheat flour,percent of population eating vehicle,na,1,[54.7]
