,location_name,vehicle,value_description,nutrient,n_data_points,value_means
0,Angola,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
1,Angola,oil,percent of vehicle that is industrially produced,na,0,[nan]
2,Angola,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
3,Bangladesh,wheat flour,percent of vehicle that is industrially produced,na,1,[79.0]
4,Burkina Faso,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
5,Burkina Faso,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
6,Burkina Faso,oil,percent of vehicle that is industrially produced,na,0,[nan]
7,Burkina Faso,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
8,Cameroon,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
9,Cameroon,maize flour,percent of vehicle that is industrially produced,na,2,"[3.0, 3.0]"
10,Cameroon,oil,percent of vehicle that is industrially produced,na,0,[nan]
11,Cameroon,wheat flour,percent of vehicle that is industrially produced,na,2,"[80.0, 80.0]"
12,China,oil,percent of vehicle that is industrially produced,na,0,[nan]
13,China,wheat flour,percent of vehicle that is industrially produced,na,2,"[89.0, 89.0]"
14,Côte d'Ivoire,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
15,Côte d'Ivoire,maize flour,percent of vehicle that is industrially produced,na,1,[100.0]
16,Democratic Republic of the Congo,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
17,Democratic Republic of the Congo,maize flour,percent of vehicle that is industrially produced,na,1,[5.0]
18,Democratic Republic of the Congo,oil,percent of vehicle that is industrially produced,na,0,[nan]
19,Democratic Republic of the Congo,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
20,Egypt,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
21,Egypt,oil,percent of vehicle that is industrially produced,na,0,[nan]
22,Egypt,wheat flour,percent of vehicle that is industrially produced,na,2,"[100.0, 100.0]"
23,Ethiopia,maize flour,percent of vehicle that is industrially produced,na,0,[nan]
24,Ethiopia,salt,percent of vehicle that is industrially produced,na,0,[nan]
25,Ghana,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
26,Ghana,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
27,Ghana,oil,percent of vehicle that is industrially produced,na,0,[nan]
28,Ghana,rice,percent of vehicle that is industrially produced,na,1,"[30.0, nan]"
29,Ghana,wheat flour,percent of vehicle that is industrially produced,na,4,"[100.0, 100.0, 100.0, 0.0]"
30,India,rice,percent of vehicle that is industrially produced,na,2,"[50.0, 50.0]"
31,Indonesia,oil,percent of vehicle that is industrially produced,na,1,[95.0]
32,Indonesia,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
33,Madagascar,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
34,Madagascar,oil,percent of vehicle that is industrially produced,na,0,[nan]
35,Madagascar,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
36,Mozambique,maize flour,percent of vehicle that is industrially produced,na,2,"[30.0, 30.0]"
37,Mozambique,oil,percent of vehicle that is industrially produced,na,0,[nan]
38,Mozambique,wheat flour,percent of vehicle that is industrially produced,na,2,"[100.0, 100.0]"
39,Nepal,oil,percent of vehicle that is industrially produced,na,0,[nan]
40,Niger,bouillon,percent of vehicle that is industrially produced,na,0,[nan]
41,Niger,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
42,Niger,oil,percent of vehicle that is industrially produced,na,0,[nan]
43,Niger,wheat flour,percent of vehicle that is industrially produced,na,1,[100.0]
44,South Africa,oil,percent of vehicle that is industrially produced,na,0,[nan]
45,Sudan,maize flour,percent of vehicle that is industrially produced,na,1,[0.0]
46,Sudan,oil,percent of vehicle that is industrially produced,na,1,[80.0]
47,Sudan,wheat flour,percent of vehicle that is industrially produced,na,2,"[80.0, 90.0]"
48,Vietnam,wheat flour,percent of vehicle that is industrially produced,na,2,"[100.0, 100.0]"
