,location_name,vehicle,value_description,nutrient,n_data_points,value_means
6,Angola,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
7,Angola,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
8,Angola,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
9,Angola,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
10,Angola,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
11,Angola,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
23,Angola,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
24,Angola,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
36,Angola,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
37,Angola,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
38,Angola,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
39,Angola,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
40,Angola,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
41,Angola,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
53,Bangladesh,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
54,Bangladesh,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
66,Bangladesh,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
67,Bangladesh,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
68,Bangladesh,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
69,Bangladesh,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
70,Bangladesh,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
71,Bangladesh,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
85,Burkina Faso,bouillon,percent of population eating fortified vehicle,folic acid,0,[nan]
86,Burkina Faso,bouillon,percent of population eating fortified vehicle,iron,0,[nan]
87,Burkina Faso,bouillon,percent of population eating fortified vehicle,vitamin a,0,[nan]
88,Burkina Faso,bouillon,percent of population eating fortified vehicle,zinc,0,[nan]
102,Burkina Faso,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
103,Burkina Faso,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
104,Burkina Faso,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
105,Burkina Faso,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
106,Burkina Faso,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
107,Burkina Faso,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
119,Burkina Faso,oil,percent of population eating fortified vehicle,vitamin a,2,"[70.0, 75.0]"
120,Burkina Faso,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
132,Burkina Faso,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
133,Burkina Faso,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
134,Burkina Faso,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
135,Burkina Faso,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
136,Burkina Faso,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
137,Burkina Faso,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
151,Cameroon,bouillon,percent of population eating fortified vehicle,folic acid,0,[nan]
152,Cameroon,bouillon,percent of population eating fortified vehicle,iron,0,[nan]
153,Cameroon,bouillon,percent of population eating fortified vehicle,vitamin a,0,[nan]
154,Cameroon,bouillon,percent of population eating fortified vehicle,zinc,0,[nan]
168,Cameroon,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
169,Cameroon,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
170,Cameroon,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
171,Cameroon,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
172,Cameroon,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
173,Cameroon,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
185,Cameroon,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
186,Cameroon,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
198,Cameroon,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
199,Cameroon,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
200,Cameroon,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
201,Cameroon,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
202,Cameroon,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
203,Cameroon,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
215,China,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
216,China,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
228,China,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
229,China,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
230,China,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
231,China,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
232,China,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
233,China,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
247,Côte d'Ivoire,bouillon,percent of population eating fortified vehicle,folic acid,0,[nan]
248,Côte d'Ivoire,bouillon,percent of population eating fortified vehicle,iron,0,[nan]
249,Côte d'Ivoire,bouillon,percent of population eating fortified vehicle,vitamin a,0,[nan]
250,Côte d'Ivoire,bouillon,percent of population eating fortified vehicle,zinc,0,[nan]
264,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
265,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
266,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
267,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
268,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
269,Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
281,Côte d'Ivoire,oil,percent of population eating fortified vehicle,vitamin a,3,"[70.0, 75.0, 98.0]"
282,Côte d'Ivoire,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
294,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
295,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
296,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
297,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
298,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
299,Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
313,Democratic Republic of the Congo,bouillon,percent of population eating fortified vehicle,folic acid,0,[nan]
314,Democratic Republic of the Congo,bouillon,percent of population eating fortified vehicle,iron,0,[nan]
315,Democratic Republic of the Congo,bouillon,percent of population eating fortified vehicle,vitamin a,0,[nan]
316,Democratic Republic of the Congo,bouillon,percent of population eating fortified vehicle,zinc,0,[nan]
330,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
331,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
332,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
333,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
334,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
335,Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
347,Democratic Republic of the Congo,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
348,Democratic Republic of the Congo,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
360,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
361,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
362,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
363,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
364,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
365,Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
381,Egypt,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
382,Egypt,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
383,Egypt,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
384,Egypt,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
385,Egypt,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
386,Egypt,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
398,Egypt,oil,percent of population eating fortified vehicle,vitamin a,0,[nan]
399,Egypt,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
411,Egypt,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
412,Egypt,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
413,Egypt,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
414,Egypt,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
415,Egypt,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
416,Egypt,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
432,Ethiopia,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
433,Ethiopia,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
434,Ethiopia,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
435,Ethiopia,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
436,Ethiopia,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
437,Ethiopia,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
449,Ethiopia,oil,percent of population eating fortified vehicle,vitamin a,1,[1.0]
450,Ethiopia,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
458,Ethiopia,salt,percent of population eating fortified vehicle,folic acid,0,[nan]
459,Ethiopia,salt,percent of population eating fortified vehicle,iron,1,[85.6]
471,Ethiopia,wheat flour,percent of population eating fortified vehicle,folic acid,1,[1.0]
472,Ethiopia,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
473,Ethiopia,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
474,Ethiopia,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
475,Ethiopia,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
476,Ethiopia,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
490,Ghana,bouillon,percent of population eating fortified vehicle,folic acid,0,[nan]
491,Ghana,bouillon,percent of population eating fortified vehicle,iron,0,[nan]
492,Ghana,bouillon,percent of population eating fortified vehicle,vitamin a,0,[nan]
493,Ghana,bouillon,percent of population eating fortified vehicle,zinc,0,[nan]
507,Ghana,maize flour,percent of population eating fortified vehicle,folic acid,0,[nan]
508,Ghana,maize flour,percent of population eating fortified vehicle,iron,0,[nan]
509,Ghana,maize flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
510,Ghana,maize flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
511,Ghana,maize flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
512,Ghana,maize flour,percent of population eating fortified vehicle,zinc,0,[nan]
524,Ghana,oil,percent of population eating fortified vehicle,vitamin a,3,"[34.9, 19.4, 32.9]"
525,Ghana,oil,percent of population eating fortified vehicle,vitamin d,0,[nan]
536,Ghana,rice,percent of population eating fortified vehicle,folic acid,0,[nan]
537,Ghana,rice,percent of population eating fortified vehicle,iron,0,[nan]
538,Ghana,rice,percent of population eating fortified vehicle,vitamin b1,0,[nan]
539,Ghana,rice,percent of population eating fortified vehicle,vitamin b12,0,[nan]
540,Ghana,rice,percent of population eating fortified vehicle,zinc,0,[nan]
555,Ghana,wheat flour,percent of population eating fortified vehicle,folic acid,0,[nan]
556,Ghana,wheat flour,percent of population eating fortified vehicle,iron,0,[nan]
557,Ghana,wheat flour,percent of population eating fortified vehicle,vitamin a,0,[nan]
558,Ghana,wheat flour,percent of population eating fortified vehicle,vitamin b1,0,[nan]
559,Ghana,wheat flour,percent of population eating fortified vehicle,vitamin b12,0,[nan]
560,Ghana,wheat flour,percent of population eating fortified vehicle,zinc,0,[nan]
572,India,oil,percent of population eating fortified vehicle,vitamin a,1,[24.3]
573,India,oil,percent of population eating fortified vehicle,vitamin d,1,[24.3]
584,India,rice,percent of population eating fortified vehicle,folic acid,0,[nan]
585,India,rice,percent of population eating fortified vehicle,iron,0,[nan]
586,India,rice,percent of population eating fortified vehicle,vitamin b1,0,[nan]
